variant,eligible_clicks,paid_transactions,cost,booking_value,cancelled_transactions,transactions_per_click,cost_per_transaction,booking_value_per_click,average_booking_value,cancellation_rate,absolute_difference_pp,relative_lift_pct,p_value,ci_lower_pp,ci_upper_pp,incremental_converting_clicks_at_control_traffic,incremental_booking_value_at_control_traffic
Control,247644.0,9496,216451.34,5060205.7,978.0,0.038345,22.79,20.43,532.88,0.102991,0.1792,4.75,0.000982,0.0727,0.2858,444.0,243663.83
Treatment,254357.0,10213,219896.49,5447643.97,1027.0,0.040152,21.53,21.42,533.4,0.100558,0.1792,4.75,0.000982,0.0727,0.2858,444.0,243663.83
